CO(GT),C6H6(GT),NOx(GT),NO2(GT),T,RH,AH,Cluster
1.8,6.9,106.0,93.0,14.0,57.0,0.9094,0
1.8,7.0,108.0,88.0,13.4,61.3,0.9361,0
1.1,4.4,87.0,79.5,12.6,63.5,0.923,0
1.05,4.0,66.0,71.0,12.3,65.4,0.9351,0
1.0,3.9,88.0,74.0,11.9,67.4,0.9375,0
1.4,6.4,138.0,80.0,11.4,70.5,0.9475,0
2.2,9.7,228.0,89.0,11.3,70.2,0.9401,0
5.5,25.9,360.0,114.0,12.4,63.9,0.917,1
8.1,36.7,478.0,149.0,14.8,54.3,0.9076,1
5.8,26.6,394.0,157.0,17.4,45.6,0.8993,1
4.2,20.1,319.0,155.0,19.8,38.5,0.8801,1
3.1,14.1,201.0,134.0,22.0,34.1,0.8904,0
2.9,14.9,171.0,119.0,23.3,32.2,0.9096,0
2.9,15.4,159.0,111.0,23.9,30.0,0.8757,0
2.5,12.1,153.0,104.0,24.4,28.9,0.8736,0
2.3,11.5,143.0,99.0,24.4,29.4,0.8848,0
2.8,14.8,156.0,110.0,23.8,31.3,0.9137,0
6.1,32.1,314.0,162.0,22.5,35.4,0.9547,1
8.0,39.2,404.0,187.0,20.4,42.5,1.0086,1
6.5,31.0,320.0,165.0,18.3,52.6,1.0945,1
4.2,19.9,256.0,145.0,16.7,57.4,1.0786,1
3.2,15.3,193.0,125.0,15.7,60.2,1.0654,1
1.4,6.9,89.0,101.0,15.3,61.4,1.058,0
2.1,11.1,127.0,103.0,14.1,65.7,1.0494,0
1.2,5.4,79.0,88.0,14.8,60.6,1.0148,0
0.8,2.8,43.0,61.0,14.8,59.2,0.9879,0
0.7,2.3,51.0,60.0,13.6,62.1,0.9636,0
0.6499999999999999,2.6,59.0,59.0,12.3,66.2,0.945,0
0.6,2.0,38.0,52.0,12.8,63.2,0.9283,0
0.9,3.5,82.0,64.0,11.2,68.5,0.9081,0
1.3,5.1,99.0,70.0,11.0,66.5,0.8705,0
3.4,16.2,263.0,97.0,11.7,63.7,0.8719,1
3.7,19.7,229.0,95.0,13.6,56.3,0.8743,1
5.3,25.1,396.0,150.0,17.8,42.9,0.8672,1
4.1,20.0,314.0,162.0,21.4,33.3,0.8417,1
3.3,18.3,217.0,154.0,24.4,27.4,0.8231,1
4.0,22.3,252.0,161.0,25.3,26.1,0.8264,1
3.8,20.4,263.0,161.0,25.8,23.2,0.7589,1
2.8,14.6,180.0,128.0,27.0,20.2,0.7094,0
2.9,16.6,184.0,129.0,28.2,18.6,0.7014,0
2.9,15.8,190.0,133.0,28.0,19.1,0.7098,0
3.4,17.8,184.0,139.0,23.9,25.7,0.7519,1
3.9,19.1,181.0,137.0,21.3,34.8,0.873,1
3.2,15.8,166.0,143.0,20.4,36.7,0.8704,1
5.1,24.9,317.0,177.0,19.0,41.3,0.9007,1
2.6,13.5,184.0,138.0,17.9,45.9,0.9342,0
1.7,9.1,130.0,117.0,16.7,48.9,0.9226,0
1.7,8.6,132.0,107.0,15.5,52.9,0.9271,0
1.2,5.4,95.0,90.0,15.5,51.9,0.9059,0
0.9,4.1,70.0,79.0,14.1,55.6,0.891,0
0.7,2.6,62.0,69.5,13.1,57.9,0.8666,0
0.6,1.9,54.0,60.0,12.7,57.9,0.8447,0
0.5,1.6,28.0,40.0,11.8,58.0,0.8026,0
0.5,1.9,46.0,53.0,11.9,57.4,0.7978,0
1.6,7.5,160.0,84.0,9.9,65.2,0.7956,0
4.1,21.4,320.0,108.0,11.1,60.2,0.7958,1
6.6,36.4,377.0,127.0,14.1,50.0,0.802,1
4.3,21.3,280.0,134.0,17.7,40.1,0.8048,1
2.9,15.4,221.0,135.0,21.1,33.4,0.8265,1
2.5,12.5,210.0,142.0,24.3,28.3,0.8471,0
2.8,15.1,204.0,153.0,25.6,25.6,0.8254,1
2.6,13.7,161.0,123.0,25.9,25.9,0.8503,0
2.0,10.4,135.0,104.0,26.8,18.7,0.65,0
2.9,15.2,186.0,129.0,29.3,15.8,0.6309,0
2.5,12.3,147.0,114.0,28.5,14.9,0.5708,0
5.0,27.0,299.0,158.0,25.9,16.0,0.5237,1
7.6,38.4,411.0,194.0,23.1,26.5,0.7403,1
6.7,35.1,347.0,182.0,20.5,38.2,0.9133,1
5.7,27.2,336.0,180.0,19.1,42.6,0.9294,1
2.8,15.0,202.0,136.0,17.2,44.1,0.8558,1
2.6,15.7,178.0,127.0,16.0,50.9,0.9206,0
2.3,13.0,154.0,116.0,14.8,53.9,0.9024,0
1.4,8.1,92.0,107.0,14.3,55.4,0.8975,0
1.0,5.5,61.0,88.0,14.8,52.1,0.8686,0
0.7,3.6,60.5,83.0,13.9,53.9,0.8501,0
0.6499999999999999,2.9,60.0,78.0,11.6,61.9,0.8442,0
0.6,2.5,37.0,57.0,12.0,58.9,0.8233,0
0.7,3.0,68.0,71.0,10.9,62.1,0.8113,0
1.5,7.7,139.0,85.0,10.6,63.3,0.8067,0
4.7,23.3,339.0,124.0,11.5,60.0,0.8117,1
6.6,35.8,421.0,151.0,14.3,50.6,0.8186,1
4.5,21.3,349.0,150.0,17.8,40.5,0.821,1
2.8,14.3,224.0,152.0,20.8,34.4,0.8365,1
2.2,12.5,171.0,139.0,23.8,28.2,0.8219,0
2.2,12.2,149.0,133.0,24.2,28.7,0.8515,0
2.3,13.1,137.0,126.0,25.2,24.9,0.7829,0
2.2,14.4,149.0,128.0,27.0,17.8,0.6275,0
2.8,16.8,172.0,169.0,27.1,23.1,0.818,1
2.7,14.5,166.0,149.0,25.8,23.9,0.7832,0
3.7,21.5,214.0,156.0,23.0,26.8,0.7446,1
5.1,26.4,280.0,168.0,20.7,31.1,0.7523,1
5.1,26.0,276.0,176.0,18.6,36.2,0.7676,1
3.2,14.1,178.0,135.0,16.0,48.4,0.8768,1
2.1,10.3,129.0,121.0,14.5,57.8,0.9456,0
1.7,8.3,95.0,99.0,13.1,64.2,0.9606,0
2.0,8.9,126.0,106.0,12.0,69.7,0.9735,0
1.6,6.6,103.0,96.0,11.9,71.1,0.9915,0
0.9,3.6,48.0,63.0,12.5,69.3,1.0029,0
0.7,2.5,34.0,47.5,12.5,67.5,0.9768,0
0.6,1.8,20.0,32.0,12.3,67.7,0.9665,0
0.5,1.3,18.0,28.0,12.5,66.8,0.962,0
0.7,2.3,56.0,61.0,12.3,66.3,0.9487,0
1.5,6.7,115.0,99.0,12.4,64.9,0.9332,0
4.8,22.8,320.0,157.0,13.0,61.6,0.9209,1
6.2,31.3,357.0,166.0,13.6,58.8,0.912,1
4.0,19.2,253.0,149.0,13.9,57.1,0.9032,1
3.3,16.4,218.0,135.0,14.5,54.4,0.8917,1
2.8,14.0,192.0,127.0,15.5,50.1,0.8744,0
3.0,15.3,176.0,122.0,16.1,47.6,0.8655,0
3.3,16.7,198.0,135.0,16.3,47.1,0.864,1
3.5,19.0,212.0,139.0,16.4,47.5,0.8791,1
4.0,19.4,249.0,147.0,16.1,50.2,0.9094,1
4.6,20.9,270.0,158.0,16.0,50.7,0.9142,1
4.1,20.2,231.0,146.0,15.8,50.3,0.8989,1
4.5,21.7,251.0,144.0,15.5,50.6,0.884,1
3.9,19.8,210.0,138.0,15.4,51.4,0.8956,1
4.0,16.7,249.0,143.0,15.2,53.1,0.9117,1
2.2,9.1,143.0,116.0,14.7,57.6,0.9573,0
2.1,8.3,127.0,109.0,14.2,58.3,0.938,0
1.7,5.8,104.0,92.0,13.8,57.9,0.9085,0
1.6,5.2,86.0,83.0,13.9,55.9,0.8842,0
1.3,4.1,74.0,81.0,13.9,55.6,0.8765,0
1.3,3.4,59.0,68.0,13.8,55.1,0.8666,0
1.05,2.9,44.0,55.0,13.8,54.6,0.8574,0
0.8,3.1,42.0,53.0,13.6,55.1,0.856,0
0.8,2.5,63.0,67.0,13.6,59.0,0.9129,0
1.1,4.3,115.0,91.0,13.5,58.4,0.896,0
2.1,8.9,170.0,113.0,13.8,58.0,0.9083,0
2.4,10.5,147.0,102.0,14.6,53.1,0.8765,0
2.6,12.5,166.0,107.0,15.0,52.3,0.8881,0
2.8,12.3,195.0,113.0,15.4,52.1,0.9046,0
2.6,11.7,182.0,108.0,16.3,50.0,0.9158,0
2.6,11.7,168.0,105.0,17.1,47.9,0.9281,0
2.1,9.3,125.0,93.0,19.0,42.9,0.937,0
1.7,7.6,95.0,87.0,19.5,42.3,0.9476,0
1.6,6.7,79.0,76.0,19.5,42.3,0.9493,0
2.1,9.7,119.0,94.0,19.1,43.8,0.9556,0
2.3,12.4,142.0,110.0,18.5,46.3,0.9744,0
3.5,16.6,215.0,136.0,17.4,51.6,1.0159,1
3.9,16.4,229.0,139.0,17.1,51.3,0.9914,1
3.3,13.7,206.0,125.0,16.4,53.8,0.9964,1
2.3,9.9,147.0,111.0,16.2,55.4,1.0132,0
2.1,8.9,122.0,97.0,15.9,57.7,1.0356,0
2.8,10.6,175.0,107.0,15.7,58.6,1.0396,0
2.1,7.4,133.0,90.0,15.1,60.9,1.0398,0
1.6,6.2,89.0,84.0,15.6,56.6,0.9951,0
1.6,6.5,87.0,85.5,15.2,57.9,0.9941,0
1.35,5.8,85.0,87.0,15.4,57.8,1.0021,0
1.1,4.0,55.0,66.0,14.9,60.6,1.0196,0
0.7,2.1,24.0,36.0,14.5,63.0,1.0316,0
0.8,3.6,72.0,62.0,14.2,66.2,1.063,0
1.2,4.4,122.0,91.0,14.5,65.3,1.0704,0
1.4,5.4,111.0,89.0,15.3,62.1,1.073,0
1.7,7.1,123.0,93.0,16.3,59.0,1.0868,0
1.8,7.3,106.0,81.0,18.9,49.6,1.07,0
1.8,7.6,103.0,82.0,19.4,46.1,1.0249,0
1.9,6.8,102.0,80.0,20.8,41.6,1.0091,0
1.3,4.6,48.0,48.0,21.4,40.3,1.0126,0
1.6,8.4,63.0,61.0,21.2,39.3,0.9791,0
1.9,6.9,98.0,89.0,20.3,38.0,0.8942,0
2.3,9.0,132.0,105.0,19.4,41.3,0.9206,0
3.8,15.1,173.0,116.0,18.5,43.8,0.9252,1
3.5,12.6,185.0,119.0,17.8,48.1,0.9689,0
4.3,15.1,266.0,144.0,17.9,46.9,0.952,1
2.8,9.9,188.0,123.0,17.4,49.1,0.9688,0
1.9,8.0,122.0,105.0,17.0,51.7,0.9914,0
1.9,7.9,112.0,93.0,16.4,55.1,1.0198,0
1.7,6.1,93.0,86.0,16.1,60.0,1.0919,0
1.5,5.1,74.0,76.0,15.8,60.5,1.0805,0
0.6,1.7,23.0,33.0,16.3,57.0,1.0491,0
0.4,0.7,20.0,30.0,16.9,53.9,1.0309,0
0.35,0.8,17.0,27.0,16.1,55.9,1.0153,0
0.3,0.7,15.0,23.0,16.5,53.9,1.0049,0
0.6,2.0,41.0,46.0,16.4,54.0,0.9979,0
1.2,5.1,86.0,76.0,15.7,57.6,1.0195,0
3.6,17.7,226.0,116.0,15.8,53.7,0.9571,1
3.7,18.4,214.0,115.0,17.4,42.1,0.8281,1
1.8,6.9,115.0,83.0,17.9,38.4,0.7793,0
1.6,7.3,124.0,87.0,18.5,36.7,0.7764,0
1.9,9.6,122.0,90.0,21.0,29.6,0.7263,0
2.0,10.4,107.0,87.0,21.3,28.1,0.7067,0
2.2,11.2,133.0,99.0,21.3,26.1,0.6539,0
2.1,10.7,130.0,99.0,21.3,26.8,0.6681,0
2.3,11.6,150.0,101.0,21.3,24.2,0.606,0
2.6,12.4,138.0,103.0,20.2,28.5,0.6682,0
3.8,18.3,213.0,129.0,17.0,43.1,0.8264,1
4.4,21.0,232.0,143.0,15.6,47.4,0.8347,1
4.5,21.0,238.0,146.0,15.3,47.4,0.8178,1
3.3,14.5,180.0,124.0,14.5,49.7,0.8177,1
2.0,8.4,128.0,113.0,13.9,52.0,0.8231,0
1.1,4.3,65.0,80.0,14.5,49.4,0.8106,0
0.9,3.8,53.0,72.0,13.8,51.4,0.8071,0
0.8,2.7,47.0,64.0,14.0,51.3,0.8163,0
0.7,2.5,51.0,70.0,13.0,56.8,0.8444,0
0.5,1.2,35.5,50.5,11.0,70.0,0.9215,0
0.4,0.8,20.0,31.0,10.1,76.8,0.9483,0
0.3,0.6,13.0,22.0,8.8,80.5,0.9147,0
0.5,1.8,33.0,47.0,9.6,75.4,0.9004,0
1.1,4.6,103.0,88.0,9.8,75.0,0.9093,0
3.0,14.2,224.0,130.0,10.0,74.2,0.9117,1
3.8,21.0,244.0,132.0,11.2,69.7,0.9232,1
3.4,16.2,237.0,132.0,12.0,62.9,0.8803,1
3.0,15.5,220.0,131.0,12.8,55.8,0.821,1
2.7,13.4,207.0,129.0,13.1,54.8,0.8234,0
3.5,16.9,208.0,132.0,13.8,53.4,0.8351,1
2.8,12.4,160.0,110.0,16.0,42.4,0.7674,0
1.9,10.1,131.0,99.0,14.1,49.8,0.7971,0
2.0,8.7,128.0,100.0,12.0,61.1,0.8537,0
3.0,13.8,176.0,122.0,13.6,54.6,0.8465,0
1.9,9.3,107.0,97.0,13.7,49.5,0.7695,0
2.7,13.0,131.0,112.0,11.7,57.1,0.7822,0
3.3,14.3,166.0,128.0,11.5,58.2,0.7867,1
1.7,7.6,89.0,101.0,12.6,54.2,0.7881,0
1.3,5.3,81.0,96.0,12.0,54.9,0.7664,0
1.3,5.4,78.0,86.0,11.0,61.4,0.8057,0
1.2,4.9,70.0,85.0,11.1,62.2,0.8199,0
1.1,4.6,76.0,79.0,10.8,62.5,0.8082,0
0.9,2.7,43.0,61.0,11.3,60.0,0.8025,0
0.6,1.6,43.5,63.5,10.6,61.6,0.7856,0
0.6,1.7,44.0,66.0,10.2,62.7,0.7813,0
0.6,1.2,34.0,54.0,10.9,58.6,0.7628,0
0.8,1.7,43.0,57.0,10.8,57.2,0.7382,0
1.2,4.8,79.0,75.0,10.4,59.2,0.7455,0
3.1,13.8,174.0,97.0,11.0,57.3,0.7501,0
4.4,23.7,235.0,110.0,11.2,56.9,0.7565,1
3.4,14.2,218.0,113.0,12.1,54.9,0.7734,1
1.7,8.0,136.0,88.0,15.1,44.3,0.7535,0
1.5,6.7,117.0,85.0,15.6,40.6,0.7146,0
1.7,8.7,119.0,96.0,16.9,34.6,0.6597,0
2.2,10.8,126.0,106.0,16.6,35.6,0.6697,0
2.45,6.7,100.0,91.0,11.3,63.9,0.8554,0
2.7,11.4,197.0,126.0,9.6,81.1,0.972,0
2.8,13.4,195.0,130.0,11.7,69.1,0.9497,1
2.7,12.0,156.0,111.0,10.7,68.5,0.8794,0
4.5,20.2,247.0,134.0,10.7,67.3,0.8643,1
3.5,14.4,190.0,136.0,10.8,65.7,0.8486,1
2.6,9.4,169.0,125.0,10.3,66.3,0.8336,0
1.7,5.9,118.0,108.0,10.1,66.9,0.8248,0
1.3,4.5,81.0,87.0,10.4,61.1,0.7717,0
1.3,4.5,80.0,89.0,10.3,59.9,0.7516,0
1.0,2.5,42.0,58.0,11.0,58.4,0.7686,0
0.7,1.8,38.0,54.0,9.1,68.1,0.789,0
0.7,1.4,28.0,41.0,9.5,68.2,0.8091,0
0.5,0.9,18.0,28.0,9.3,72.3,0.8496,0
0.5,0.6,12.0,20.0,9.9,66.8,0.8152,0
0.6,1.4,43.0,51.0,7.6,83.2,0.8695,0
1.1,3.8,84.0,82.0,8.1,79.0,0.8544,0
2.7,11.6,184.0,112.0,8.7,74.6,0.8429,0
3.5,17.8,202.0,119.0,8.6,75.1,0.8415,1
2.3,8.8,133.0,99.0,9.7,69.7,0.8389,0
1.6,6.8,130.0,98.0,11.0,64.4,0.8447,0
1.3,5.9,106.0,88.0,13.6,53.0,0.8209,0
2.0,8.9,132.0,96.0,14.2,48.4,0.778,0
1.9,8.2,106.0,81.0,14.2,46.3,0.7438,0
1.9,8.6,125.0,92.0,16.0,41.3,0.7462,0
2.2,10.1,138.0,105.0,17.7,35.4,0.7094,0
2.0,9.4,120.0,88.0,17.1,37.4,0.7225,0
2.9,14.6,158.0,103.0,14.9,40.5,0.6835,0
5.2,24.6,253.0,141.0,13.4,47.8,0.7293,1
4.6,21.6,231.0,133.0,12.6,52.5,0.7642,1
2.5,10.3,150.0,119.0,12.2,53.2,0.7555,0
1.5,5.7,99.0,106.0,10.6,56.1,0.714,0
1.2,4.5,75.0,92.0,9.9,59.5,0.7276,0
1.7,5.5,93.0,97.0,9.6,61.1,0.7323,0
1.4,4.8,79.0,91.0,9.7,61.6,0.7425,0
1.2,3.6,67.0,83.0,9.4,62.6,0.7398,0
0.6,1.7,56.0,71.0,8.2,68.5,0.7455,0
0.7,2.2,45.0,59.0,8.0,69.4,0.7459,0
0.8,3.0,72.0,73.0,7.7,72.4,0.7655,0
0.9,4.0,103.0,78.0,8.0,71.8,0.7711,0
1.6,6.7,132.0,90.0,8.5,66.3,0.7375,0
3.4,16.7,239.0,110.0,9.8,59.6,0.7214,1
3.8,19.3,275.0,114.0,11.2,57.0,0.7544,1
3.1,14.8,232.0,119.0,14.8,44.1,0.7407,1
2.7,13.4,180.0,121.0,16.8,35.3,0.6729,0
2.0,11.0,112.0,97.0,19.2,27.1,0.5976,0
2.3,12.5,116.0,99.0,19.1,26.2,0.5741,0
1.9,8.4,103.0,85.0,16.3,30.8,0.5683,0
1.3,5.3,89.0,75.0,14.2,36.8,0.5922,0
1.9,8.8,112.0,87.0,13.4,41.0,0.6292,0
2.3,11.2,127.0,102.0,14.2,43.3,0.6982,0
2.4,11.6,125.0,105.0,12.1,45.6,0.6403,0
2.7,12.4,120.0,98.0,10.4,48.0,0.6046,0
2.6,10.6,120.0,93.0,10.0,51.1,0.628,0
1.5,6.0,99.0,91.0,9.8,50.8,0.6172,0
1.2,4.6,79.0,85.0,9.7,50.4,0.6063,0
1.1,4.1,66.0,74.0,9.9,50.2,0.6103,0
1.5,5.2,94.0,87.0,9.4,53.4,0.63,0
1.0,3.2,70.0,79.0,8.6,57.8,0.6488,0
1.2,4.5,75.0,78.0,8.1,62.1,0.6746,0
1.1,3.8,66.0,70.5,7.9,63.5,0.6777,0
0.95,3.8,57.0,63.0,7.4,64.8,0.6683,0
0.8,1.9,32.0,48.0,8.2,58.9,0.6444,0
0.9,2.4,54.0,59.0,6.3,66.6,0.641,0
1.1,3.3,68.0,65.0,7.2,62.9,0.6396,0
1.5,6.7,98.0,71.0,7.2,63.9,0.65,0
1.8,8.5,128.0,84.0,11.1,50.5,0.6654,0
2.1,9.7,129.0,93.0,15.5,36.1,0.6313,0
2.1,9.4,130.0,99.0,17.8,29.2,0.592,0
1.9,9.0,111.0,93.0,17.6,30.1,0.6013,0
2.1,10.0,106.0,96.0,19.1,26.8,0.5861,0
2.5,12.6,137.0,114.0,17.7,28.6,0.5735,0
1.9,7.6,113.0,101.0,17.8,28.4,0.5737,0
2.2,11.8,122.0,108.0,18.7,26.0,0.5555,0
2.3,11.2,137.0,117.0,17.1,31.3,0.6038,0
2.7,12.4,165.0,125.0,15.8,36.1,0.644,0
3.0,12.9,196.0,133.0,14.7,40.1,0.6657,0
2.8,12.2,174.0,119.0,13.6,44.9,0.6991,0
2.2,8.8,140.0,107.0,12.5,48.1,0.6946,0
1.6,6.8,102.0,96.0,11.8,50.8,0.7042,0
2.1,8.6,130.0,105.0,10.9,56.1,0.7326,0
2.3,8.9,121.0,102.0,10.9,55.9,0.7277,0
2.3,8.3,111.0,97.0,10.3,58.1,0.7278,0
1.7,6.3,87.0,79.0,9.3,62.2,0.7294,0
2.2,8.3,82.0,74.0,8.2,66.7,0.7276,0
1.3,5.1,77.0,69.0,8.3,64.9,0.7124,0
0.8,2.6,39.0,52.0,9.6,58.5,0.7,0
1.1,3.6,77.0,62.0,7.7,66.4,0.699,0
1.4,3.6,91.0,69.0,7.4,68.0,0.7043,0
1.3,4.7,105.0,75.0,9.7,58.6,0.7035,0
1.9,7.5,133.0,83.0,12.5,50.1,0.7242,0
2.3,9.0,128.0,94.0,16.8,36.9,0.7018,0
2.3,9.5,126.0,96.0,19.2,31.3,0.6887,0
1.8,7.7,92.0,86.0,21.3,26.4,0.6607,0
1.4,5.7,66.0,72.0,21.2,23.1,0.5768,0
1.0,3.8,50.0,53.0,18.6,25.0,0.5319,0
1.4,4.8,70.0,65.0,18.0,27.3,0.5594,0
1.3,4.3,73.0,70.0,18.2,28.3,0.5848,0
1.3,4.1,77.0,75.0,17.0,31.4,0.6048,0
1.4,4.7,86.0,86.0,15.6,35.0,0.617,0
1.9,6.2,93.0,94.0,14.1,40.2,0.6438,0
1.8,5.5,105.0,103.0,13.4,43.2,0.6623,0
1.1,3.3,67.0,81.0,12.3,46.8,0.6686,0
1.1,3.2,63.0,80.0,11.9,46.5,0.6449,0
1.1,2.9,63.0,77.0,11.5,46.6,0.6319,0
0.9,2.2,46.0,58.0,10.6,48.0,0.6135,0
0.6,1.3,21.0,31.0,10.7,45.8,0.5895,0
0.5,1.1,22.0,38.0,10.4,46.6,0.5901,0
0.7,1.3,30.5,48.5,10.1,47.8,0.5913,0
0.6,1.2,39.0,59.0,11.3,46.9,0.628,0
0.7,1.7,55.0,70.0,10.1,51.2,0.6341,0
0.9,2.9,76.0,75.0,9.9,50.7,0.6167,0
2.9,14.3,181.0,103.0,8.1,56.8,0.615,0
4.1,19.7,259.0,134.0,10.9,44.1,0.5748,1
1.5,5.5,118.0,98.0,11.8,37.6,0.5184,0
1.5,5.6,119.0,97.0,13.9,33.2,0.5222,0
